id,title,song_count
1,A,21
2,A Canorous Quintet,11
3,A Flock of Seagulls,30
4,A Ha,16
5,A Jugend - Tsg Kirchhellen,1
6,A Kiss To Build A Dream On,1
7,A Klana Indiana,4
8,A La Carte,6
9,A Perfect Circle,7
10,A Really Cool Song,1
11,A Shrine,5
12,A Static Lullaby,8
13,A Taste Of Honey,1
14,A Teens,10
15,A Tribe Called Quest,35
16,A*teens   Abba,1
17,A. F. I.,48
18,A. For W.,1
19,A. R. Kane,26
20,A.f.i.,52
21,A.k.-s.w.i.f.t.,1
22,A.n.i.m.a.l,22
23,A.p.v.,1
24,A+,1
25,A1,37
26,Aaliyah,81
27,Aaliyah (soundtrack: Dr. Dolittle),1
28,Aaron Carter,51
29,Aaron Lines,15
30,Aaron Neville,49
31,Aaron Tippin,50
32,Abandoned Pools,12
33,Abba,137
34,Abbey Lincoln,1
35,Abby 6,12
36,Abc,57
37,Abducted,18
38,Abdul Paula,27
39,Aber......vom Singen Keine Ahnung,1
40,Abi And Esther Ofraim,1
41,Abidin Zainal,2
42,Abigail Mead And Nigel Goulding,1
43,Abigor,33
44,Ablaze My Sorrow,8
45,Abomination,7
46,Abraham,1
47,Abrams Rita,1
48,Abreu Fernanda,11
49,Abrial Patrick,1
50,Abrunhosa Pedro,2
51,Absent Friends,2
52,Absint,1
53,Absolom,1
54,Absolute Beginner,19
55,Absu,24
56,Abyssos,8
57,Ac Dc,110
58,Acad&#233;mica Palanca,1
59,Accept,95
60,According To John,1
61,Acda En De Munnik,3
62,Ace,1
63,Ace Frehley,7
64,Ace of Base,68
65,Acen,1
66,Acetone,8
67,Aceyalone,28
68,Acheron,47
69,Achim Reichel,16
70,Acid Bath,8
71,Acid Drinkers,43
72,Acid Rain,25
73,Acolla,20
74,Acrimony,7
75,Acrostichon,16
76,Act Fast,10
77,Actarus,1
78,Actitud Maria Marta,2
79,Adam And Eve,16
80,Adam And The Ants,40
81,Adam Ant,50
82,Adam Sandler,48
83,Adamo,16
84,Adams Bryan,41
85,Adams Oleta,1
86,Addict,12
87,Adema,8
88,Adeva,1
89,Adi Smolar,1
90,Adiemus,1
91,Adina Howard,1
92,Adkins Trace,7
93,Admiral Twin,15
94,Adolphson Falk,8
95,Adorned Brood,7
96,Adotta Kip,1
97,Adria,5
98,Adrian Belew,49
99,Adrian Furby Trio,6
100,Adrian Wolf,1
101,Adriani Jerry,1
102,Adriano Celentano,14
103,Adventures,9
104,Adverts,2
105,Aendiaena,1
106,Aeon,10
107,Aerosmith,215
108,Aerosmith (armageddon Soundtrack),1
109,Aerzte,1
110,Aeternus,8
111,Afflicted,10
112,Afonso Jose,1
113,Afonso Zeca,75
114,Afrob,2
115,Afrob And Ferris Mc,1
116,Afrob Feat. Ferris Mc,2
118,Afroman,3
119,After 7,32
120,After Crying,7
121,After The Fire,1
122,Afterhours,27
124,Agans Craig,17
125,Agathocles,39
126,Agathodaimon,24
127,Age Of Electric,24
128,Agent Orange,2
129,Agent Steel,26
130,Agents Of Chaos,5
131,Agents of Good Roots,19
132,Aglukark Susan,3
133,Agneta And Tomas Ledin,1
134,Agneta Faltskog,3
135,Agnetha,10
136,Agnetha Fandauml;ltskog,2
137,Agnetha Fandauml;ltskog and Tomas Ledin,1
138,Agnostic Front,41
139,Agora,1
140,Agrama Gigi,1
141,Agretator,9
142,"Agua Dulce, Agua Sal&#225;",1
143,Agua Na Boca,1
144,Aguilera Cristina,1
145,A-ha,85
146,Ahmad,7
147,Ahmad Band,1
148,Aikakone,18
149,Aimee Mann,80
150,Aion,8
151,Air,24
152,Air Supply,121
153,Airija,1
155,Akins Rhett,3
156,Akinyele,6
157,Akos,50
158,Aksu Sezen,8
159,Al Bano,1
160,Al Corley,1
161,Al Green,2
162,Al Jarreau,1
163,Al Martino,2
164,Alabama,108
165,Aladin,1
166,Alain Barriere And Novelle Cordier,1
167,Alan And Denise,1
168,Alan Jackson,86
169,Alan Parson Project,2
170,Alan Parsons Project,59
171,Alan Price,1
172,Alan Sorrenti,1
173,Alanis Morissette,106
174,Alanis Morissette (soundtrack: City Of Angels),1
175,Alanis Morrisette,1
176,Alannah Myles,1
177,Alarcon Ronaye,1
178,Alarm,50
179,Alastis,31
180,Albano And Romina Power,6
181,Albert Der Groaszlig;e,1
182,Albert Hammond,8
183,Albert West,1
184,Alberta,1
185,Albin Berger,2
186,Albita,5
187,Alcazar,17
188,Alchemist,8
189,Alda,1
190,Alecia Elliott,10
191,Alejandro Sanz,48
192,Alessi,1
193,Alex E,1
194,Alex Nolze,1
195,Alexander,1
196,Alexander Oneal,2
197,Alexander Oneal And Cherille,1
198,Alexandra,1
199,Alexandra Neldel Und Wolfgang Bahro Von Gzsz,1
200,Alexia,38
